"GO_ID","Term","p.value","p.adj","z.score","set.size","set.mean","set.sd","num.overlap","Genes","module","tissue","fraction_overlap"
"GO:0050853","B cell receptor signaling pathway",0,0,18.1327948298868,47,0.0851063829787234,0.282056672846969,4,"Blk, Cd19, Ms4a1, Cd79b","bisque4","adipose",0.0851063829787234
"GO:0001578","microtubule bundle formation",0,0,10.3985579462836,92,0.16304347826087,0.371429490241063,15,"Foxj1, Mns1, Map1b, Spag6l, Ccdc39, Cfap206, Lrguk, Rsph9, Ak7, Ccdc65, Zmynd10, Cfap44, Ttc26, Dnah2, Drc1","black","adipose",0.16304347826087
"GO:0002177","manchette",0,0,8.49862340623005,17,0.294117647058824,0.469668218313862,5,"Strbp, Spag6l, 1110017D15Rik, Lrguk, Ccdc181","black","adipose",0.294117647058824
"GO:0003341","cilium movement",0,0,11.7675032257108,163,0.141104294478528,0.349201922793501,23,"Mns1, Tcte1, Spag6l, Ccdc39, Celsr2, Dnah10, Cfap206, Cfap52, Ttc29, Ttc21a, Cfap53, Ttll9, Nme5, Dnali1, Rsph9, Ak7, Ccdc65, Zmynd10, Cfap44, Eno4, Dnah9, Dnah2, Drc1","black","adipose",0.141104294478528
"GO:0005858","axonemal dynein complex",0,0,8.49862340623005,17,0.294117647058824,0.469668218313862,5,"Dnah10, Ccdc65, Dnah9, Dnah2, Drc1","black","adipose",0.294117647058824
"GO:0005923","bicellular tight junction",0,0,8.52537826098338,125,0.12,0.326269233767491,15,"Patj, Cldn2, Cldn3, Epcam, Ocln, Cldn11, Cldn7, Lsr, Cldn10, Igsf5, Marveld3, Aoc1, Jam3, Crb3, Frmpd2","black","adipose",0.12
"GO:0005930","axoneme",0,0,11.4227817287587,110,0.163636363636364,0.371638394024704,18,"Gli1, Mns1, Spag6l, Ccdc39, Dnah10, Cfap206, Cfap52, Cfap53, Drc3, Wdr35, Dnali1, Rsph9, Ccdc65, Dcdc2a, Dnah9, Ccdc113, Dnah2, Drc1","black","adipose",0.163636363636364
"GO:0007018","microtubule-based movement",0,0,8.89189092173442,341,0.0821114369501466,0.274937852685656,28,"Mns1, Map1b, Tcte1, Spag6l, Ccdc39, Celsr2, Dnah10, Ift80, Cfap206, Cfap52, Ttc29, Ttc21a, Cfap53, Wdr35, Ttll9, Dynlrb2, Nme5, Dnali1, Rsph9, Ak7, Ccdc65, Zmynd10, Cfap44, Eno4, Dnah9, Ttc26, Dnah2, Drc1","black","adipose",0.0821114369501466
"GO:0016324","apical plasma membrane",0,0,8.32932876228816,328,0.0792682926829268,0.270569816606062,26,"Atp1b1, Cftr, Dsg2, Erbb3, Lrp2, Kcnk1, Epcam, Ocln, Rab17, Scnn1a, Ezr, Slc7a9, Pdzk1, Slc39a4, Cdhr5, Plet1, Ano1, Slc6a20a, Zmynd10, Mlc1, Prom2, Shank2, Crb3, P2rx2, Adgrg2, Pkhd1","black","adipose",0.0792682926829268
"GO:0031514","motile cilium",0,0,12.5638191991117,196,0.137755102040816,0.345525332069938,27,"Atp1b1, Cd24a, Mns1, Scnn1a, Tcte1, Spag6l, Ccdc39, Fsip1, Cfap52, Cabcoco1, Ttc29, Cfap53, Drc3, Ttll9, Ccdc181, Iqca, Nme5, Dnali1, Rsph9, Ak7, Ccdc65, Cfap44, Iqub, Eno4, Dnah9, Dnah2, Drc1","black","adipose",0.137755102040816
"GO:0032530","regulation of microvillus organization",0,0,9.86879755928019,13,0.384615384615385,0.506369683541833,5,"Klf5, Ezr, Cdhr5, Ush1c, Rap1gap","black","adipose",0.384615384615385
